*Node properties
ID x y size color shortlabel
0 664159.0 550946.0 10.0 153 8.33939048904546
1 665845.0 557965.0 10.0 153 4.868466381826833
2 597173.0 575538.0 10.0 153 9.502322880748023
3 618600.0 551446.0 10.0 153 14.298787813316702
4 635690.0 608046.0 10.0 153 14.824873223731972
5 588100.0 557588.0 10.0 153 11.251370632821054
6 582015.0 546191.0 10.0 153 11.888260725038931
7 604678.0 574577.0 10.0 153 7.871956054912118
8 572029.0 518313.0 10.0 153 12.182146432694765
9 604737.0 574591.0 10.0 153 8.948694559025988
10 577728.0 587566.0 10.0 153 15.275371602099876
11 602013.0 574722.0 10.0 153 12.629528205260362
12 627968.0 574625.0 10.0 153 11.4924145660802
13 607269.0 536961.0 10.0 153 10.073493109810688
14 603145.0 574795.0 10.0 153 8.291185751013023
15 671919.0 571761.0 10.0 153 8.423168188676732
16 612184.0 570393.0 10.0 153 11.859530072022066
17 600032.0 575310.0 10.0 153 11.054688474200491
18 627912.0 593892.0 10.0 153 17.887938174142384
19 601967.0 604428.0 10.0 153 11.237167577751585
20 591851.0 569051.0 10.0 153 9.247645710183164
21 601444.0 572693.0 10.0 153 12.013871040399149
22 629718.0 558104.0 10.0 153 11.202657712441464
23 661430.0 603567.0 10.0 153 8.62345939193416
24 597551.0 556737.0 10.0 153 9.186750464516273
25 601182.0 582584.0 10.0 153 15.20725006435048
26 562704.0 570596.0 10.0 153 7.406683780405217
27 605107.0 563429.0 10.0 153 16.93111334646443
28 607214.0 575069.0 10.0 153 7.8046085891533155
29 568824.0 570203.0 10.0 153 8.685285985219151
30 612485.0 518009.0 10.0 153 6.9199775569945485
31 589244.0 573777.0 10.0 153 12.301335848124927
32 625579.0 551084.0 10.0 153 12.877038471659008
33 560237.0 500154.0 10.0 153 12.548275286872899
34 626224.0 569687.0 10.0 153 11.975560027172024
35 610666.0 551701.0 10.0 153 6.865819264977294
36 597428.0 569940.0 10.0 153 11.241798468108616
37 600582.0 599535.0 10.0 153 6.458721416687134
38 604168.0 555003.0 10.0 153 10.234395883534226
39 613871.0 550423.0 10.0 153 9.262110144598745
40 617310.0 551945.0 10.0 153 9.972809884641215
41 625728.0 579460.0 10.0 153 9.065139834774966
42 606300.0 566708.0 10.0 153 11.685151490040669
43 638559.0 558807.0 10.0 153 15.286834187749747
44 582176.0 630383.0 10.0 153 7.667033391175768
45 544056.0 577786.0 10.0 153 9.0095627695459
46 631297.0 578351.0 10.0 153 11.168159430640921
47 561574.0 621747.0 10.0 153 9.038965453390464
48 604973.0 574773.0 10.0 153 11.505272701679155
49 605284.0 556134.0 10.0 153 7.48036918831094
50 617910.0 592293.0 10.0 153 10.830386445471296
51 555904.0 640401.0 10.0 153 7.945148823719338
52 526559.0 509417.0 10.0 153 11.906292176363849
53 603849.0 572396.0 10.0 153 9.199365497024043
54 598634.0 619900.0 10.0 153 7.080997887409013
55 603359.0 589262.0 10.0 153 10.179680482015861
56 657455.0 567754.0 10.0 153 6.624160535759432
57 614279.0 599251.0 10.0 153 11.112661215759749
58 578496.0 631434.0 10.0 153 8.290818389037568
59 645171.0 595209.0 10.0 153 11.469991854081846
60 688015.0 533535.0 10.0 153 8.13111344890672
61 656477.0 573007.0 10.0 153 7.258774216234338
62 540029.0 563888.0 10.0 153 6.425207479077006
63 597418.0 538362.0 10.0 153 8.520054060318987
64 613545.0 574733.0 10.0 153 10.92499021686698
65 628696.0 542447.0 10.0 153 8.60767305558857
66 604157.0 574191.0 10.0 153 7.011403373002341
67 603126.0 497987.0 10.0 153 10.567378894574556
68 605850.0 533310.0 10.0 153 13.342132568277176
69 596179.0 529556.0 10.0 153 7.3190758116447405
70 610330.0 552628.0 10.0 153 6.472952404490259
71 598184.0 531473.0 10.0 153 6.694793601647659
72 620438.0 511694.0 10.0 153 7.697476628696466
73 600202.0 622079.0 10.0 153 6.929783927689041
74 603021.0 577991.0 10.0 153 11.982647663797843
75 515612.0 540643.0 10.0 153 7.829050159034002
76 606548.0 574376.0 10.0 153 8.201839658095833
77 593490.0 623110.0 10.0 153 8.108256990128044
78 607084.0 595500.0 10.0 153 8.633668591731386
79 583728.0 563146.0 10.0 153 11.137484500233656
80 616044.0 533807.0 10.0 153 9.964491113977372
81 624452.0 584622.0 10.0 153 10.64435944710681
82 604438.0 574666.0 10.0 153 8.52047087002062
83 625709.0 660145.0 10.0 153 9.287981773167301
84 601376.0 579831.0 10.0 153 12.23745754843962
85 565148.0 557305.0 10.0 153 9.421772682251955
86 639418.0 537903.0 10.0 153 8.429154397894397
87 612799.0 537497.0 10.0 153 9.567630040464461
88 583653.0 652182.0 10.0 153 6.675912586666576
89 599808.0 596484.0 10.0 153 6.428919563726919
90 605250.0 573272.0 10.0 153 11.508015086986386
91 606738.0 601356.0 10.0 153 6.981112659764719
92 611044.0 571814.0 10.0 153 7.699855806415917
93 575440.0 568511.0 10.0 153 13.290633489546957
94 616329.0 529516.0 10.0 153 8.878482524476915
95 605927.0 572533.0 10.0 153 8.60311423755192
96 609286.0 586782.0 10.0 153 10.896750447331794
97 647354.0 579190.0 10.0 153 10.69587642938897
98 606929.0 571420.0 10.0 153 12.548589798918462
99 562920.0 559223.0 10.0 153 7.482784828927697
100 680357.0 620811.0 10.0 153 5.944957765094432
101 707100.0 601463.0 10.0 153 9.871764294052987
102 604294.0 574368.0 10.0 153 7.497559121293528
103 614917.0 600946.0 10.0 153 13.000078130620045
104 611508.0 503220.0 10.0 153 10.9831318148015
105 603789.0 574474.0 10.0 153 8.291956146143661
106 551740.0 588768.0 10.0 153 9.971151066202657
107 546031.0 570429.0 10.0 153 8.150181707034944
108 569197.0 559307.0 10.0 153 8.175496606243934
109 688712.0 568754.0 10.0 153 7.244200086238437
110 604067.0 574091.0 10.0 153 8.229156259615305
111 606809.0 572101.0 10.0 153 10.068301669923443
112 588597.0 622592.0 10.0 153 7.714907260183604
113 613840.0 534167.0 10.0 153 8.23674509703937
114 576263.0 547239.0 10.0 153 13.226690940141246
115 597077.0 568196.0 10.0 153 11.304825270079382
116 601339.0 571609.0 10.0 153 11.052977549502538
117 606011.0 569426.0 10.0 153 10.925906436744691
118 593398.0 559764.0 10.0 153 11.889615465668022
119 593166.0 622725.0 10.0 153 7.703581629462762
120 609796.0 532982.0 10.0 153 7.662408875691474
121 712648.0 607541.0 10.0 153 7.924409011107649
122 585048.0 505097.0 10.0 153 15.561495301165454
123 525967.0 565687.0 10.0 153 6.242377195229109
124 660327.0 585901.0 10.0 153 9.255432391123405
125 607604.0 573951.0 10.0 153 9.353850460028145
126 604001.0 573587.0 10.0 153 7.970224533383218
127 591484.0 571087.0 10.0 153 11.032787394566354
128 613868.0 585089.0 10.0 153 11.480378125011192
129 645464.0 660478.0 10.0 153 16.94540763842768
130 538571.0 654649.0 10.0 153 9.850322244369984
131 555429.0 604551.0 10.0 153 13.249530953477949
132 597620.0 586226.0 10.0 153 9.953680277494035
133 586097.0 567445.0 10.0 153 9.09401421917596
134 545235.0 539822.0 10.0 153 14.188671411584837
135 649088.0 575733.0 10.0 153 9.107861706418504
136 599123.0 616977.0 10.0 153 10.448451890886293
137 563763.0 559454.0 10.0 153 7.445592588368018
138 617717.0 613939.0 10.0 153 10.797219154532733
139 618869.0 577243.0 10.0 153 14.317416160735629
140 567188.0 560044.0 10.0 153 6.801326208327387
141 636628.0 533309.0 10.0 153 8.52466954402411
142 560362.0 567914.0 10.0 153 9.108227762963057
143 595014.0 632844.0 10.0 153 6.237327978950467
144 605876.0 550640.0 10.0 153 9.09193675431486
145 604352.0 573425.0 10.0 153 8.417281146427134
146 600679.0 599545.0 10.0 153 8.383877418942054
147 596891.0 579476.0 10.0 153 9.238913258190383
148 614943.0 540976.0 10.0 153 15.304988856353633
149 604415.0 571400.0 10.0 153 10.62528376138952
150 603698.0 573585.0 10.0 153 8.074054449931854
151 658199.0 568743.0 10.0 153 7.120692715075132
152 598759.0 582942.0 10.0 153 10.91738587566666
153 671269.0 590258.0 10.0 153 11.285994154010472
154 593317.0 534085.0 10.0 153 10.294270614273112
155 657985.0 453405.0 10.0 153 8.681365159650142
156 608557.0 590278.0 10.0 153 10.30112635859929
157 623004.0 508050.0 10.0 153 7.842242434234663
158 601900.0 569391.0 10.0 153 13.399417314099301
159 641031.0 593074.0 10.0 153 9.809754063219845
160 589658.0 640498.0 10.0 153 7.393274588842815
161 567565.0 573952.0 10.0 153 8.909122048656096
162 559078.0 570088.0 10.0 153 8.670051532364035
163 639431.0 588155.0 10.0 153 9.460942038816015
164 566609.0 537592.0 10.0 153 13.718053788555062
165 568570.0 579335.0 10.0 153 10.859135275784416
166 660650.0 615038.0 10.0 153 11.433746561696083
167 667639.0 571164.0 10.0 153 7.163444253229249
168 596796.0 529933.0 10.0 153 7.018821332299589
169 606111.0 617846.0 10.0 153 10.777046095778795
170 616060.0 590779.0 10.0 153 12.345913506675975
171 602873.0 527864.0 10.0 153 11.705785721766425
172 571334.0 594145.0 10.0 153 15.585437002964692
173 602167.0 543919.0 10.0 153 14.336340473649404
174 605100.0 573307.0 10.0 153 10.651116212335216
175 546640.0 560043.0 10.0 153 10.712650217221155
176 585195.0 555011.0 10.0 153 11.445227380925479
177 651740.0 589474.0 10.0 153 11.99691564122229
178 589112.0 536573.0 10.0 153 7.478738618115089
179 582057.0 543124.0 10.0 153 10.414371736422549
180 690968.0 555952.0 10.0 153 5.158406701548767
181 609030.0 552436.0 10.0 153 7.435185845359439
182 632125.0 541413.0 10.0 153 9.093049188302079
183 603445.0 630598.0 10.0 153 9.589252616407466
184 628264.0 616214.0 10.0 153 11.792650111177748
185 577242.0 574073.0 10.0 153 13.49392653681249
186 604090.0 574392.0 10.0 153 8.604468551924965
187 607911.0 576556.0 10.0 153 10.48217141604378
188 600665.0 638890.0 10.0 153 8.116739166542935
189 600117.0 539079.0 10.0 153 9.531006438634451
190 631182.0 565466.0 10.0 153 9.702981816065957
191 695646.0 652231.0 10.0 153 9.311576704724104
192 619445.0 567491.0 10.0 153 12.309741803736125
193 613191.0 571942.0 10.0 153 10.462008169397025
194 567428.0 580005.0 10.0 153 11.891333276146558
195 590583.0 623314.0 10.0 153 6.820047262736203
196 606289.0 670243.0 10.0 153 7.047252405993643
197 585175.0 574133.0 10.0 153 9.116822744698052
198 634967.0 579020.0 10.0 153 10.678718492007762
199 614615.0 574437.0 10.0 153 8.393964407454774
200 593061.0 579188.0 10.0 153 8.228519765539286
201 606933.0 576409.0 10.0 153 10.04956708260758
202 606587.0 573873.0 10.0 153 7.598987955996328
203 594084.0 629464.0 10.0 153 6.667073636179345
204 683697.0 581516.0 10.0 153 13.013417855709854
205 601530.0 577183.0 10.0 153 12.81270986139519
206 603055.0 589818.0 10.0 153 9.19941476712034
207 616561.0 619007.0 10.0 153 12.307303358874163
208 607463.0 477085.0 10.0 153 15.921106074633688
209 611581.0 572630.0 10.0 153 9.026419310837971
210 579712.0 568354.0 10.0 153 6.776010310994742
211 602887.0 595245.0 10.0 153 8.111551892325302
212 600039.0 557139.0 10.0 153 8.900845919711681
213 605913.0 579526.0 10.0 153 16.11802816563267
214 579773.0 568698.0 10.0 153 6.772138301713369
215 606324.0 544357.0 10.0 153 11.74958435223223
216 605958.0 573728.0 10.0 153 8.667683663865121
217 606144.0 575076.0 10.0 153 10.146786243423035
